Station,Setup_date,Retrieval_date/Function Date,Latitude,Longitude
Olanchito_2020_7,2/6/2020,6/25/2020,15.5686,-86.5442
Olanchito_2020_8,2/8/2020,6/22/2020,15.5697,-86.5378
Olanchito_2020_9,2/9/2020,6/27/2020,15.5589,-86.5603
OlanchitoSur_2021_1,6/19/2021,8/24/2021,15.5199,-86.4056
OlanchitoSur_2021_2,6/19/2021,8/24/2021,15.5178,-86.3754
OlanchitoSur_2021_3,6/20/2021,8/25/2021,15.4061,-86.4003
OlanchitoSur_2021_4,6/20/2021,8/22/2021,15.4087,-86.3933
OlanchitoSur_2021_5,6/24/2021,8/18/2021,15.4168,-86.3812
Omoa_Guatemala_2021_1,1/13/2021,4/19/2021,15.6793,-88.1045
Omoa_Guatemala_2021_10,2/6/2021,4/8/2021,15.7023,-88.2432
Omoa_Guatemala_2021_2,1/13/2021,4/19/2021,15.674,-88.1011
Omoa_Guatemala_2021_4,1/14/2021,3/28/2021,15.6352,-88.2034
Omoa_Guatemala_2021_5,1/13/2021,4/9/2021,15.6312,-88.2029
Omoa_Guatemala_2021_6,1/15/2021,4/9/2021,15.5991,-88.2874
Omoa_Guatemala_2021_7,1/17/2021,4/9/2021,15.5937,-88.2939
PANACAM_2017_VHS_1,2/15/2017,5/12/2017,14.8676,-87.9025
PANACAM_2017-21_11,11/7/2018,2/11/2019,14.8471,-87.8784
PANACAM_2017-21_13,2/13/2019,5/1/2019,14.8146,-87.875
PANACAM_2017-21_14,2/14/2019,5/1/2019,14.8127,-87.8857
PANACAM_2017-21_15,2/14/2019,5/1/2019,14.8146,-87.8638
PANACAM_2017-21_16,2/13/2019,5/1/2019,14.82,-87.8727
PANACAM_2017-21_17,2/13/2019,5/1/2019,14.8182,-87.8764
PANACAM_2017-21_19,2/13/2019,5/1/2019,14.8109,-87.8773
PANACAM_2017-21_20,2/13/2019,5/1/2019,14.8109,-87.8829
PANACAM_2017-21_21,2/13/2019,5/1/2019,14.8127,-87.8884
PANACAM_2017-21_22,11/7/2018,5/1/2019,14.8408,-87.8737
PANACAM_2017-21_25,11/7/2018,4/20/2019,14.8498,-87.8793
PANACAM_2017-21_26,11/13/2018,3/26/2019,14.8435,-87.8783
PANACAM_2017-21_29,3/4/2021,5/19/2021,14.8597,-87.8942
PANACAM_2017-21_31,3/4/2021,5/18/2021,14.8579,-87.883
PANACAM_2017-21_32,3/3/2021,4/16/2021,14.8444,-87.883
PANACAM_2017-21_33,3/13/2021,5/19/2021,14.8543,-87.8858
PANACAM_2017-21_34,3/3/2021,4/29/2021,14.8579,-87.89
PANACAM_2017-21_36,3/2/2021,5/18/2021,14.8624,-87.8826
PANACAM_2017-21_37,5/20/2021,7/20/2021,14.8472,-87.8616
PANACAM_2017-21_38,3/3/2021,5/19/2021,14.8534,-87.8821
PANACAM_2017-21_39,5/18/2021,6/28/2021,14.8417,-87.87
PANACAM_2017-21_40,6/5/2021,8/6/2021,14.8462,-87.8663
PANACAM_2017-21_7,9/1/2019,5/29/2020,14.8064,-87.8717
PANACAM_2017-21_9,3/24/2019,4/27/2019,14.8073,-87.8889
PANACAM_2022_10,3/9/2022,5/24/2022,14.8417,-87.8251
PANACAM_2022_11,3/9/2022,5/24/2022,14.8343,-87.8217
PANACAM_2022_13,3/9/2022,4/12/2022,14.8204,-87.8367
PANACAM_2022_14,3/9/2022,4/2/2022,14.8156,-87.8304
PANACAM_2022_16,3/10/2022,6/1/2022,14.8165,-87.9007
PANACAM_2022_17,3/10/2022,4/25/2022,14.8157,-87.8962
PANACAM_2022_18,3/10/2022,5/25/2022,14.8736,-87.8925
PANACAM_2022_19,3/10/2022,5/25/2022,14.8765,-87.9009
PANACAM_2022_2,3/8/2022,6/1/2022,14.7909,-87.9136
PANACAM_2022_2_24,8/16/2022,10/28/2022,14.8404,-87.9038
PANACAM_2022_2_26,8/12/2022,11/23/2022,14.7953,-87.9187
PANACAM_2022_2_28,8/19/2022,12/5/2022,14.8798,-87.8737
PANACAM_2022_21,3/10/2022,5/3/2022,14.8767,-87.8593
PANACAM_2022_22,3/11/2022,5/26/2022,14.8642,-87.9002
PANACAM_2022_3,3/8/2022,5/17/2022,14.7907,-87.886
PANACAM_2022_5,3/8/2022,5/17/2022,14.7906,-87.8675
PANACAM_2022_6,3/8/2022,3/29/2022,14.796,-87.8718
PANACAM_2022_8,3/9/2022,5/23/2022,14.8303,-87.8187
PANACAM_2022_9,3/9/2022,5/23/2022,14.8272,-87.8308
PicoBonito_2016_1,11/1/2015,1/9/2016,15.6669,-86.9797
PicoBonito_2016_4,11/14/2015,12/22/2015,15.6813,-86.9343
PicoBonito_2016_5,11/25/2015,1/9/2016,15.6781,-86.8998
PicoBonito_2016_6,11/1/2015,12/29/2015,15.6709,-86.9801
PicoBonito_2016_7,11/25/2015,1/26/2016,15.6938,-86.8638
PicoBonito_2017_VHS_1,1/19/2017,6/17/2017,15.6817,-86.9001
PicoBonito_2022_11,3/19/2022,6/10/2022,15.7473,-86.7591
PicoBonito_2022_12,3/19/2022,6/10/2022,15.7401,-86.7617
PicoBonito_2022_14,3/20/2022,6/11/2022,15.72,-86.7396
PicoBonito_2022_15,3/20/2022,6/11/2022,15.7221,-86.7479
PicoBonito_2022_2,3/16/2022,6/10/2022,15.6321,-87.0295
PicoBonito_2022_3,5/5/2022,6/10/2022,15.6243,-87.0248
PicoBonito_2022_5,3/17/2022,6/10/2022,15.6743,-86.899
PicoBonito_2022_7,3/17/2022,6/10/2022,15.6895,-86.9014
PicoBonito_2022_8,4/18/2022,8/27/2022,15.5911,-87.0615
PicoBonito_2022_9,3/18/2022,6/2/2022,15.5939,-87.0527
PicoBonitoS_2022_1,11/20/2021,2/6/2022,15.5375,-86.9282
PicoBonitoS_2022_2,11/20/2021,2/6/2022,15.5338,-86.9342
PicoBonitoS_2022_3,11/19/2021,2/5/2022,15.526,-86.9416
PicoBonitoS_2022_4,11/19/2021,2/5/2022,15.5227,-86.9492
PicoBonitoS_2022_6,11/20/2021,2/6/2022,15.5307,-86.9272
PicoPijol_2017_1,1/19/2017,3/3/2017,15.2196,-87.5717
PicoPijol_2017_12,1/14/2017,3/4/2017,15.1839,-87.6077
PicoPijol_2017_2,1/18/2017,2/22/2017,15.154,-87.6173
PicoPijol_2017_3,1/12/2017,3/3/2017,15.1667,-87.5595
PicoPijol_2017_5,1/10/2017,3/1/2017,15.2076,-87.6236
PicoPijol_2017_6,1/19/2017,3/3/2017,15.1991,-87.5709
PuntoIzopo_2019_1,5/8/2019,7/15/2019,15.8375,-87.3678
PuntoIzopo_2019_2,5/9/2019,7/16/2019,15.7813,-87.3627
PuntoIzopo_2019_3,5/7/2019,7/15/2019,15.8167,-87.3551
PuntoIzopo_2019_4,5/7/2019,7/15/2019,15.834,-87.363
PuntoIzopo_2019_5,5/8/2019,7/15/2019,15.8242,-87.3781
PuntoIzopo_2019_6,5/9/2019,7/16/2019,15.787,-87.3654
PuntoIzopo_2019_7,5/7/2019,7/15/2019,15.8274,-87.3559
PuntoIzopo_2019_8,5/8/2019,7/15/2019,15.8209,-87.3739
RioTintoC_2021_1,2/5/2021,5/26/2021,15.7412,-85.2243
RioTintoC_2021_10,2/7/2021,6/1/2021,15.7595,-85.2432
RioTintoC_2021_11,2/8/2021,5/31/2021,15.7557,-85.2021
RioTintoC_2021_12,2/5/2021,6/1/2021,15.7634,-85.1989
RioTintoC_2021_3,2/6/2021,5/31/2021,15.7306,-85.2303
RioTintoC_2021_4,2/6/2021,5/31/2021,15.7382,-85.2362
RioTintoC_2021_6,2/6/2021,5/31/2021,15.7224,-85.2444
RioTintoC_2021_7,2/6/2021,5/31/2021,15.7468,-85.2375
RioTintoC_2021_8,2/6/2021,6/2/2021,15.7446,-85.2307
RioTintoC_2021_9,2/7/2021,6/1/2021,15.7565,-85.2329
RioTintoN_2021_2,11/21/2021,2/18/2022,15.8126,-85.1582
RioTintoN_2021_3,11/21/2021,2/5/2022,15.8177,-85.1631
RioTintoN_2021_4,11/21/2021,1/20/2022,15.8172,-85.1607
RioTintoN_2021_5,11/22/2021,2/19/2022,15.8165,-85.155
RioTintoN_2021_8,11/21/2021,12/22/2021,15.8116,-85.1769
RioTintoSur_2020_1,12/16/2020,2/9/2021,15.4545,-85.506
RioTintoSur_2020_10,12/18/2020,2/9/2021,15.4432,-85.4867
RioTintoSur_2020_12,12/19/2020,2/9/2021,15.4621,-85.5143
RioTintoSur_2020_2,12/16/2020,2/9/2021,15.4491,-85.4997
RioTintoSur_2020_3,12/16/2020,2/9/2021,15.4606,-85.4955
RioTintoSur_2020_4,12/17/2020,2/9/2021,15.4498,-85.4919
RioTintoSur_2020_5,12/17/2020,2/9/2021,15.4539,-85.4817
RioTintoSur_2020_6,12/17/2020,2/9/2021,15.4623,-85.4859
RioTintoSur_2020_7,12/17/2020,2/10/2021,15.4403,-85.4981
RioTintoSur_2020_8,12/17/2020,1/6/2021,15.4304,-85.4985
RP_AG_2020_1,12/12/2020,1/25/2021,15.2106,-85.4595
RP_AG_2020_2,12/12/2020,1/26/2021,15.2249,-85.4659
RP_Aukabenk_2019_1,11/2/2019,2/28/2020,15.5204,-84.6249
RP_Aukabenk_2019_11,11/3/2019,2/28/2020,15.5392,-84.6508
RP_Aukabenk_2019_16,11/3/2019,2/28/2020,15.4956,-84.6208
RP_Aukabenk_2019_17,11/2/2019,2/27/2020,15.5286,-84.635
RP_Aukabenk_2019_18,11/5/2019,12/2/2019,15.5243,-84.6404
RP_Aukabenk_2019_6,11/2/2019,2/27/2020,15.5061,-84.6815
RP_Aukabenk_2019_7,11/3/2019,2/28/2020,15.5245,-84.6721
RP_Aukabenk_2019_9,11/1/2019,2/27/2020,15.5108,-84.6552
RP_CBlanco_2017_1,2/21/2017,5/3/2017,15.2505,-84.9695
RP_CBlanco_2017_16,2/19/2017,7/7/2017,15.2288,-84.963
RP_CBlanco_2017_17,2/20/2017,6/13/2017,15.2413,-84.9595
RP_CBlanco_2017_19,2/20/2017,9/5/2017,15.2453,-84.9709
RP_CBlanco_2017_20,2/21/2017,9/5/2017,15.2507,-84.9755
RP_CBlanco_2017_4,2/22/2017,5/8/2017,15.2474,-84.9677
RP_CBlanco_2017_5,2/22/2017,4/10/2017,15.2443,-84.9629
RP_CBlanco_2017_6,2/22/2017,4/26/2017,15.2485,-84.9731
RP_CBlanco_2017_7,2/22/2017,7/20/2017,15.2467,-84.9757
RP_CBlanco_2017_8,2/21/2017,5/4/2017,15.2441,-84.973
RP_Nucleo_2021_1,4/27/2021,10/22/2021,15.4025,-85.1762
RP_Nucleo_2021_3,4/29/2021,6/14/2021,15.4484,-85.0878
RP_Uhurra_2020_10,10/30/2020,12/13/2020,15.3303,-84.8836
RP_Uhurra_2020_11,10/30/2020,1/28/2021,15.342,-84.8851
RP_Uhurra_2020_12,10/30/2020,1/28/2021,15.3494,-84.8873
RP_Uhurra_2020_15,10/29/2020,1/27/2021,15.3521,-84.8939
RP_Uhurra_2020_16,10/30/2020,1/27/2021,15.3435,-84.8929
RP_Uhurra_2020_17,10/30/2020,1/27/2021,15.3501,-84.8922
RP_Uhurra_2020_18,10/30/2020,12/26/2020,15.3571,-84.8955
RP_Uhurra_2020_4,10/30/2020,12/24/2020,15.3351,-84.8784
RP_Uhurra_2020_5,10/30/2020,12/1/2020,15.3364,-84.8823
RP_Uhurra_2020_6,10/26/2020,12/4/2020,15.3392,-84.8877
RP_Uhurra_2020_9,10/30/2020,1/27/2021,15.3332,-84.8824
RP_Wuarska_2021_1,11/11/2021,1/29/2022,15.3111,-85.2945
RP_Wuarska_2021_10,11/13/2021,1/31/2022,15.3359,-85.2732
RP_Wuarska_2021_11,11/13/2021,12/11/2021,15.3422,-85.2771
RP_Wuarska_2021_3,11/12/2021,12/15/2021,15.3259,-85.2825
RP_Wuarska_2021_4,11/12/2021,1/22/2022,15.3574,-85.2386
RP_Wuarska_2021_5,11/12/2021,1/31/2022,15.3413,-85.2578
RP_Wuarska_2021_6,11/12/2021,1/30/2022,15.3382,-85.2634
RP_Wuarska_2021_7,11/13/2021,1/30/2022,15.3373,-85.2612
RP_Wuarska_2021_8,11/13/2021,1/30/2022,15.3338,-85.2626
SantaBarbara_2019_1,2/16/2019,4/20/2019,14.9085,-88.115
SantaBarbara_2019_3,2/17/2019,3/16/2019,14.9472,-88.1307
SantaBarbara_2019_4,2/18/2019,4/21/2019,14.8722,-88.1503
SantaBarbara_2019_5,2/17/2019,4/20/2019,14.9079,-88.0975
SantaBarbara_2019_6,2/15/2019,4/18/2019,14.8703,-88.1484
SantaBarbaraN_2021_1,7/4/2021,9/19/2021,15.0766,-88.0952
SantaBarbaraN_2021_2,7/4/2021,9/19/2021,15.0467,-88.1227
SantaBarbaraN_2021_3,7/10/2021,9/19/2021,14.9981,-88.1503
SantaBarbaraN_2021_4,7/16/2021,9/24/2021,15.0915,-88.1372
SantaBarbaraN_2021_5,7/16/2021,9/24/2021,15.0861,-88.1261
Texiguat_2017_2V_12,7/18/2017,11/17/2017,15.4453,-87.304
Texiguat_2017_2VHS_13,1/11/2017,6/16/2017,15.4451,-87.304
Texiguat_2017_2VHS_14,1/12/2017,6/15/2017,15.4343,-87.3124
TexiguatNE_2022_1,3/22/2022,6/8/2022,15.4945,-87.4376
TexiguatNE_2022_10,3/24/2022,6/9/2022,15.5316,-87.3301
TexiguatNE_2022_11,3/24/2022,6/9/2022,15.5216,-87.3397
TexiguatNE_2022_12,3/24/2022,5/30/2022,15.517,-87.3322
TexiguatNE_2022_13,4/1/2022,6/9/2022,15.5223,-87.3199
TexiguatNE_2022_14,4/1/2022,4/30/2022,15.515,-87.3244
TexiguatNE_2022_15,4/1/2022,6/9/2022,15.5063,-87.3233
TexiguatNE_2022_16,4/1/2022,6/9/2022,15.5021,-87.3272
TexiguatNE_2022_2,3/22/2022,6/8/2022,15.4895,-87.4298
TexiguatNE_2022_3,3/22/2022,6/8/2022,15.4914,-87.4182
TexiguatNE_2022_4,3/22/2022,6/8/2022,15.4916,-86.4792
TexiguatNE_2022_5,3/23/2022,6/8/2022,15.4836,-87.4532
TexiguatNE_2022_6,3/23/2022,5/22/2022,15.4872,-87.4588
TexiguatNE_2022_7,3/23/2022,6/8/2022,15.479,-87.4596
TexiguatNE_2022_8,3/23/2022,6/7/2022,15.4801,-87.4453
TexiguatNE_2022_9,3/24/2022,5/31/2022,15.5347,-87.3379
Yoro_2017_1,8/29/2017,10/9/2017,15.0471,-87.0901
Yoro_2017_12,8/26/2017,10/14/2017,15.0375,-87.0884
Yoro_2017_3,8/28/2017,10/23/2017,15.0276,-87.1049
Yoro_2017_4,8/24/2017,10/1/2017,14.9878,-87.1278
Yoro_2017_5,8/22/2017,10/17/2017,15.0548,-87.0743
Yoro_2017_6,8/22/2017,10/10/2017,15.0558,-87.0853
Yoro_2017_8,8/17/2017,10/26/2017,15.011,-87.1369
Yoro_2017_9,8/20/2017,10/13/2017,15.0526,-87.1066
