o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15
0.849980963,0.948338964,1.046696966,1.145054967,1.243412969,1.34177097,1.440128972,1.538486973,0,0,0,0,0,0,0
0.849980963,0.948338964,1.046696966,1.145054967,1.243412969,1.34177097,1.440128972,1.538486973,0,0,0,0,0,0,0
0.849980963,0.948338964,1.046696966,1.145054967,1.243412969,1.34177097,1.440128972,1.538486973,0,0,0,0,0,0,0
0.849980963,0.948338964,1.046696966,1.145054967,1.243412969,1.34177097,1.440128972,1.538486973,0,0,0,0,0,0,0
0.859816763,0.958174764,1.056532766,1.154890767,1.253248769,1.351606771,1.449964772,1.548322774,0,0,0,0,0,0,0
0.859816763,0.958174764,1.056532766,1.154890767,1.253248769,1.351606771,1.449964772,0,0,0,0,0,0,0,0
-0.231957054,-0.133599053,-0.035241051,0.06311695,0.161474952,0.259832953,0,0,0,0,0,0,0,0,0
1.263084569,1.361442571,1.459800572,1.558158574,1.656516575,1.754874577,1.853232578,-1.638476476,-1.540118475,-1.441760473,-1.343402472,-1.24504447,0,0,0
1.272920369,1.371278371,1.469636372,1.567994374,1.666352375,1.764710377,1.863068379,-1.628640676,-1.530282675,-1.431924673,-1.333566671,-1.23520867,0,0,0
0.948338964,1.046696966,1.145054967,1.243412969,1.34177097,1.440128972,1.538486973,1.636844975,1.735202977,1.833560978,-1.658148077,-1.559790075,-1.461432074,0,0
0.948338964,1.046696966,1.145054967,1.243412969,1.34177097,0,0,0,0,0,0,0,0,0,0
1.223741369,1.32209937,1.420457372,1.518815373,1.617173375,1.715531376,1.813889378,-1.677819677,-1.579461675,-1.481103674,0,0,0,0,0
1.282756169,1.381114171,1.479472173,1.577830174,1.676188176,1.774546177,1.872904179,-1.618804876,-1.520446874,0,0,0,0,0,0
1.253248769,1.351606771,1.449964772,1.548322774,1.646680775,1.745038777,1.843396778,-1.648312276,-1.549954275,-1.451596273,-1.353238272,-1.25488027,0,0,0
1.263084569,1.361442571,1.459800572,0,0,0,0,0,0,0,0,0,0,0,0
1.263084569,1.361442571,1.459800572,1.558158574,1.656516575,1.754874577,1.853232578,-1.638476476,-1.540118475,-1.441760473,-1.343402472,-1.24504447,0,0,0
1.164726568,1.263084569,1.361442571,1.459800572,1.558158574,1.656516575,1.754874577,1.853232578,-1.638476476,-1.540118475,0,0,0,0,0
1.204069768,1.30242777,1.400785771,1.499143773,1.597501774,1.695859776,1.794217777,-1.697491277,-1.599133276,-1.500775274,0,0,0,0,0
1.174562368,1.272920369,1.371278371,1.469636372,1.567994374,1.666352375,1.764710377,1.863068379,-1.628640676,-1.530282675,0,0,0,0,0
1.174562368,1.272920369,1.371278371,1.469636372,1.567994374,1.666352375,1.764710377,1.863068379,-1.628640676,-1.530282675,0,0,0,0,0
1.174562368,1.272920369,1.371278371,1.469636372,1.567994374,1.666352375,1.764710377,0,0,0,0,0,0,0,0
1.174562368,1.272920369,1.371278371,1.469636372,1.567994374,1.666352375,1.764710377,0,0,0,0,0,0,0,0
1.184398168,1.282756169,1.381114171,1.479472173,1.577830174,1.676188176,1.774546177,1.872904179,-1.618804876,-1.520446874,0,0,0,0,0
1.184398168,1.282756169,1.381114171,1.479472173,1.577830174,1.676188176,1.774546177,1.872904179,-1.618804876,-1.520446874,0,0,0,0,0
1.184398168,1.282756169,1.381114171,1.479472173,1.577830174,1.676188176,0,0,0,0,0,0,0,0,0
0.476220557,0.574578558,0.67293656,0.771294561,0.869652563,0.968010565,1.066368566,0,0,0,0,0,0,0,0
0.476220557,0.574578558,0.67293656,0,0,0,0,0,0,0,0,0,0,0,0
0.486056357,0.584414359,0.68277236,0,0,0,0,0,0,0,0,0,0,0,0
0.486056357,0.584414359,0.68277236,0.781130362,0.879488363,0.977846365,1.076204366,0,0,0,0,0,0,0,0
0.495892157,0.594250159,0.69260816,0.790966162,0.889324163,0.987682165,1.086040166,0,0,0,0,0,0,0,0
-0.969642066,-0.871284064,-0.772926063,-0.674568061,-0.57621006,-0.477852058,-0.379494057,-0.281136055,-0.182778053,-0.084420052,0.01393795,0.112295951,0.210653953,0.309011954,0.407369956
-0.959806266,-0.861448264,-0.763090263,-0.664732261,-0.566374259,-0.468016258,-0.369658256,-0.271300255,0,0,0,0,0,0,0
-0.959806266,-0.861448264,-0.763090263,-0.664732261,-0.566374259,-0.468016258,-0.369658256,-0.271300255,-0.172942253,-0.074584252,0,0,0,0,0
-0.959806266,-0.861448264,-0.763090263,-0.664732261,-0.566374259,-0.468016258,-0.369658256,-0.271300255,-0.172942253,-0.074584252,0.02377375,0,0,0,0
-0.949970465,-0.851612464,-0.753254462,-0.654896461,-0.556538459,0,0,0,0,0,0,0,0,0,0
-0.949970465,-0.851612464,-0.753254462,-0.654896461,-0.556538459,-0.458180458,-0.359822456,-0.261464455,-0.163106453,-0.064748452,0,0,0,0,0
-0.989313666,-0.890955665,-0.792597663,-0.694239661,-0.59588166,-0.497523658,-0.399165657,-0.300807655,-0.202449654,0,0,0,0,0,0
-0.989313666,-0.890955665,-0.792597663,-0.694239661,-0.59588166,-0.497523658,-0.399165657,-0.300807655,-0.202449654,-0.104091652,-0.005733651,0.092624351,0,0,0
-0.989313666,-0.890955665,-0.792597663,-0.694239661,-0.59588166,-0.497523658,-0.399165657,-0.300807655,-0.202449654,-0.104091652,-0.005733651,0.092624351,0.190982352,0.289340354,0.387698355
-0.940134665,-0.841776664,-0.743418662,-0.645060661,-0.546702659,-0.448344658,-0.349986656,-0.251628655,0,0,0,0,0,0,0
-0.979477866,-0.881119864,-0.782761863,-0.684403861,0,0,0,0,0,0,0,0,0,0,0
-0.969642066,-0.871284064,-0.772926063,-0.674568061,-0.57621006,-0.477852058,-0.379494057,-0.281136055,-0.182778053,-0.084420052,0.01393795,0.112295951,0.210653953,0,0
0.908995764,1.007353765,1.105711767,1.204069768,1.30242777,1.400785771,1.499143773,1.597501774,0,0,0,0,0,0,0
0.908995764,1.007353765,1.105711767,1.204069768,1.30242777,1.400785771,1.499143773,1.597501774,0,0,0,0,0,0,0
0.918831564,1.017189565,1.115547567,1.213905568,1.31226357,1.410621571,1.508979573,1.607337575,0,0,0,0,0,0,0
0.918831564,1.017189565,1.115547567,1.213905568,1.31226357,1.410621571,1.508979573,1.607337575,0,0,0,0,0,0,0
0.918831564,1.017189565,1.115547567,1.213905568,1.31226357,1.410621571,1.508979573,0,0,0,0,0,0,0,0
0.928667364,1.027025365,1.125383367,1.223741369,1.32209937,1.420457372,0,0,0,0,0,0,0,0,0
0.928667364,1.027025365,1.125383367,1.223741369,1.32209937,1.420457372,1.518815373,0,0,0,0,0,0,0,0
-0.61555326,-0.517195259,-0.418837257,-0.320479256,0,0,0,0,0,0,0,0,0,0,0
-0.58604586,-0.487687858,-0.389329857,-0.290971855,-0.192613854,0,0,0,0,0,0,0,0,0,0
-0.59588166,-0.497523658,-0.399165657,-0.300807655,-0.202449654,0,0,0,0,0,0,0,0,0,0
-0.60571746,-0.507359459,-0.409001457,-0.310643455,-0.212285454,0,0,0,0,0,0,0,0,0,0
-0.60571746,-0.507359459,-0.409001457,-0.310643455,-0.212285454,0,0,0,0,0,0,0,0,0,0
-0.58604586,-0.487687858,-0.389329857,-0.290971855,-0.192613854,0,0,0,0,0,0,0,0,0,0
-0.59588166,-0.497523658,-0.399165657,-0.300807655,-0.202449654,0,0,0,0,0,0,0,0,0,0
-0.59588166,-0.497523658,-0.399165657,0,0,0,0,0,0,0,0,0,0,0,0
-0.58604586,-0.487687858,-0.389329857,-0.290971855,0,0,0,0,0,0,0,0,0,0,0
-0.60571746,-0.507359459,-0.409001457,-0.310643455,0,0,0,0,0,0,0,0,0,0,0
0.613921759,0.712279761,0.810637762,0.908995764,0,0,0,0,0,0,0,0,0,0,0
0.66310076,0.761458761,0.859816763,0,0,0,0,0,0,0,0,0,0,0,0
0.65326496,0.751622961,0.849980963,0,0,0,0,0,0,0,0,0,0,0,0
0.65326496,0.751622961,0.849980963,0,0,0,0,0,0,0,0,0,0,0,0
0.66310076,0.761458761,0.859816763,0,0,0,0,0,0,0,0,0,0,0,0
-0.045076851,0.05328115,0.151639152,0.249997153,0.348355155,0.446713156,0.545071158,0.643429159,0,0,0,0,0,0,0
0.348355155,0.446713156,0.545071158,0.643429159,0,0,0,0,0,0,0,0,0,0,0
1.567994374,1.666352375,1.764710377,1.863068379,-1.628640676,-1.530282675,-1.431924673,0,0,0,0,0,0,0,0
1.194233968,1.29259197,1.390949971,1.489307973,1.587665974,1.686023976,1.784381977,1.882739979,0,0,0,0,0,0,0
1.194233968,1.29259197,1.390949971,1.489307973,1.587665974,1.686023976,1.784381977,1.882739979,-1.608969076,-1.510611074,0,0,0,0,0
0.751622961,0.849980963,0.948338964,1.046696966,1.145054967,1.243412969,1.34177097,1.440128972,0,0,0,0,0,0,0
0.771294561,0.869652563,0.968010565,1.066368566,1.164726568,1.263084569,1.361442571,1.459800572,0,0,0,0,0,0,0
0.761458761,0.859816763,0.958174764,1.056532766,1.154890767,1.253248769,1.351606771,1.449964772,0,0,0,0,0,0,0
0.761458761,0.859816763,0.958174764,1.056532766,1.154890767,1.253248769,1.351606771,1.449964772,0,0,0,0,0,0,0
0.761458761,0.859816763,0.958174764,1.056532766,1.154890767,1.253248769,1.351606771,1.449964772,0,0,0,0,0,0,0
0.761458761,0.859816763,0.958174764,1.056532766,1.154890767,1.253248769,1.351606771,1.449964772,0,0,0,0,0,0,0
0.761458761,0.859816763,0.958174764,1.056532766,1.154890767,1.253248769,0,0,0,0,0,0,0,0,0
0.771294561,0.869652563,0.968010565,1.066368566,0,0,0,0,0,0,0,0,0,0,0
0.771294561,0.869652563,0.968010565,1.066368566,1.164726568,1.263084569,1.361442571,0,0,0,0,0,0,0,0
0.771294561,0.869652563,0.968010565,1.066368566,1.164726568,1.263084569,1.361442571,1.459800572,0,0,0,0,0,0,0
1.538486973,1.636844975,1.735202977,1.833560978,-1.658148077,-1.559790075,-1.461432074,-1.363074072,0,0,0,0,0,0,0
1.538486973,1.636844975,1.735202977,1.833560978,-1.658148077,-1.559790075,-1.461432074,-1.363074072,0,0,0,0,0,0,0
1.558158574,1.656516575,1.754874577,1.853232578,-1.638476476,-1.540118475,-1.441760473,-1.343402472,0,0,0,0,0,0,0
1.548322774,1.646680775,1.745038777,1.843396778,-1.648312276,-1.549954275,-1.451596273,-1.353238272,0,0,0,0,0,0,0
1.548322774,1.646680775,1.745038777,1.843396778,-1.648312276,-1.549954275,-1.451596273,-1.353238272,0,0,0,0,0,0,0
1.548322774,1.646680775,1.745038777,1.843396778,-1.648312276,-1.549954275,-1.451596273,-1.353238272,0,0,0,0,0,0,0
1.538486973,1.636844975,1.735202977,1.833560978,-1.658148077,-1.559790075,-1.461432074,0,0,0,0,0,0,0,0
1.745038777,1.843396778,-1.648312276,0,0,0,0,0,0,0,0,0,0,0,0
1.538486973,1.636844975,1.735202977,1.833560978,-1.658148077,-1.559790075,-1.461432074,-1.363074072,0,0,0,0,0,0,0
1.538486973,1.636844975,1.735202977,1.833560978,-1.658148077,-1.559790075,-1.461432074,-1.363074072,0,0,0,0,0,0,0
1.548322774,1.646680775,1.745038777,1.843396778,-1.648312276,-1.549954275,-1.451596273,-1.353238272,0,0,0,0,0,0,0
1.548322774,1.646680775,1.745038777,1.843396778,-1.648312276,-1.549954275,-1.451596273,-1.353238272,0,0,0,0,0,0,0
1.548322774,1.646680775,1.745038777,1.843396778,-1.648312276,-1.549954275,-1.451596273,-1.353238272,0,0,0,0,0,0,0
1.538486973,1.636844975,1.735202977,1.833560978,-1.658148077,-1.559790075,-1.461432074,-1.363074072,0,0,0,0,0,0,0
1.174562368,1.272920369,1.371278371,1.469636372,1.567994374,0,0,0,0,0,0,0,0,0,0
1.174562368,1.272920369,1.371278371,1.469636372,1.567994374,0,0,0,0,0,0,0,0,0,0
1.174562368,1.272920369,1.371278371,1.469636372,1.567994374,0,0,0,0,0,0,0,0,0,0
1.184398168,1.282756169,1.381114171,1.479472173,1.577830174,0,0,0,0,0,0,0,0,0,0
1.184398168,1.282756169,1.381114171,1.479472173,1.577830174,0,0,0,0,0,0,0,0,0,0
1.184398168,1.282756169,1.381114171,1.479472173,1.577830174,0,0,0,0,0,0,0,0,0,0
-0.399165657,-0.300807655,-0.202449654,0,0,0,0,0,0,0,0,0,0,0,0
-0.399165657,-0.300807655,-0.202449654,0,0,0,0,0,0,0,0,0,0,0,0
-0.399165657,-0.300807655,-0.202449654,-0.104091652,-0.005733651,0.092624351,0.190982352,0.289340354,0.387698355,0,0,0,0,0,0
-0.389329857,-0.290971855,-0.192613854,-0.094255852,0.004102149,0.102460151,0.200818153,0.299176154,0,0,0,0,0,0,0
-0.389329857,-0.290971855,-0.192613854,-0.094255852,0.004102149,0.102460151,0.200818153,0.299176154,0.397534156,0,0,0,0,0,0
-0.389329857,-0.290971855,-0.192613854,-0.094255852,0.004102149,0.102460151,0.200818153,0.299176154,0.397534156,0,0,0,0,0,0
-0.389329857,-0.290971855,-0.192613854,-0.094255852,0.004102149,0.102460151,0.200818153,0.299176154,0.397534156,0,0,0,0,0,0
-0.389329857,-0.290971855,-0.192613854,-0.094255852,0.004102149,0.102460151,0.200818153,0.299176154,0.397534156,0,0,0,0,0,0
-0.379494057,-0.281136055,-0.182778053,-0.084420052,0.01393795,0.112295951,0.210653953,0.309011954,0.407369956,0,0,0,0,0,0
-0.379494057,-0.281136055,-0.182778053,-0.084420052,0.01393795,0.112295951,0.210653953,0.309011954,0.407369956,0,0,0,0,0,0
-0.379494057,-0.281136055,-0.182778053,0,0,0,0,0,0,0,0,0,0,0,0
-0.379494057,-0.281136055,-0.182778053,0,0,0,0,0,0,0,0,0,0,0,0
-0.379494057,-0.281136055,-0.182778053,-0.084420052,0,0,0,0,0,0,0,0,0,0,0
-0.379494057,-0.281136055,-0.182778053,0,0,0,0,0,0,0,0,0,0,0,0
-0.399165657,-0.300807655,-0.202449654,-0.104091652,-0.005733651,0.092624351,0.190982352,0.289340354,0.387698355,0,0,0,0,0,0
-0.399165657,-0.300807655,-0.202449654,-0.104091652,-0.005733651,0.092624351,0.190982352,0.289340354,0.387698355,0,0,0,0,0,0
0.358190955,0.456548957,0.554906958,0.65326496,0.751622961,0.849980963,0.948338964,1.046696966,0,0,0,0,0,0,0
0.358190955,0.456548957,0.554906958,0.65326496,0.751622961,0.849980963,0.948338964,1.046696966,0,0,0,0,0,0,0
0.358190955,0.456548957,0.554906958,0.65326496,0.751622961,0.849980963,0.948338964,1.046696966,0,0,0,0,0,0,0
0.368026755,0.466384757,0.564742758,0.66310076,0.761458761,0.859816763,0.958174764,1.056532766,0,0,0,0,0,0,0
0.368026755,0.466384757,0.564742758,0.66310076,0.761458761,0.859816763,0.958174764,1.056532766,0,0,0,0,0,0,0
0.368026755,0.466384757,0.564742758,0.66310076,0.761458761,0.859816763,0.958174764,1.056532766,0,0,0,0,0,0,0
0.928667364,1.027025365,1.125383367,1.223741369,1.32209937,0,0,0,0,0,0,0,0,0,0
0.928667364,1.027025365,1.125383367,1.223741369,1.32209937,0,0,0,0,0,0,0,0,0,0
0.977846365,1.076204366,1.174562368,1.272920369,0,0,0,0,0,0,0,0,0,0,0
0.486056357,0.584414359,0.68277236,0.781130362,0.879488363,0,0,0,0,0,0,0,0,0,0
0.515563757,0.613921759,0.712279761,0.810637762,0.908995764,0,0,0,0,0,0,0,0,0,0
0.495892157,0.594250159,0.69260816,0.790966162,0.889324163,0,0,0,0,0,0,0,0,0,0
0.495892157,0.594250159,0.69260816,0.790966162,0.889324163,0,0,0,0,0,0,0,0,0,0
0.486056357,0.584414359,0.68277236,0.781130362,0.879488363,0,0,0,0,0,0,0,0,0,0
0.377862555,0.476220557,0.574578558,0.67293656,0.771294561,0.869652563,0.968010565,0,0,0,0,0,0,0,0
0.604085959,0.70244396,0.800801962,0.899159963,0.997517965,0,0,0,0,0,0,0,0,0,0
-1.313895071,-1.21553707,-1.117179068,-1.018821067,-0.920463065,-0.822105063,-0.723747062,-0.62538906,0,0,0,0,0,0,0
-1.313895071,-1.21553707,-1.117179068,-1.018821067,-0.920463065,-0.822105063,-0.723747062,-0.62538906,0,0,0,0,0,0,0
-1.22537287,-1.127014868,-1.028656867,-0.930298865,-0.831940864,-0.733582862,-0.635224861,0,0,0,0,0,0,0,0
1.410621571,1.508979573,1.607337575,1.705695576,1.804053578,-1.687655477,-1.589297476,-1.490939474,-1.392581472,0,0,0,0,0,0
1.794217777,-1.697491277,-1.599133276,-1.500775274,-1.402417273,-1.304059271,0,0,0,0,0,0,0,0,0
1.794217777,-1.697491277,-1.599133276,-1.500775274,-1.402417273,-1.304059271,0,0,0,0,0,0,0,0,0
1.794217777,-1.697491277,-1.599133276,-1.500775274,-1.402417273,-1.304059271,0,0,0,0,0,0,0,0,0
1.410621571,1.508979573,1.607337575,1.705695576,1.804053578,-1.687655477,-1.589297476,-1.490939474,-1.392581472,0,0,0,0,0,0
1.420457372,1.518815373,1.617173375,1.715531376,1.813889378,-1.677819677,-1.579461675,-1.481103674,-1.382745672,0,0,0,0,0,0
1.420457372,1.518815373,1.617173375,1.715531376,1.813889378,-1.677819677,-1.579461675,-1.481103674,-1.382745672,0,0,0,0,0,0
1.233577169,1.33193517,1.430293172,1.528651173,1.627009175,1.725367176,0,0,0,0,0,0,0,0,0
1.420457372,1.518815373,1.617173375,1.715531376,1.813889378,-1.677819677,-1.579461675,-1.481103674,-1.382745672,0,0,0,0,0,0
1.430293172,1.528651173,1.627009175,1.725367176,1.823725178,-1.667983877,-1.569625875,-1.471267874,-1.372909872,0,0,0,0,0,0
1.774546177,1.872904179,-1.618804876,-1.520446874,-1.422088873,-1.323730871,0,0,0,0,0,0,0,0,0
-0.704075462,-0.60571746,-0.507359459,-0.409001457,-0.310643455,-0.212285454,-0.113927452,-0.015569451,0,0,0,0,0,0,0
-0.458180458,-0.359822456,-0.261464455,-0.163106453,-0.064748452,0.03360955,0.131967551,0.230325553,0.328683555,0.427041556,0,0,0,0,0
-0.458180458,-0.359822456,-0.261464455,-0.163106453,-0.064748452,0.03360955,0.131967551,0.230325553,0.328683555,0.427041556,0.525399558,0.623757559,0,0,0
-0.448344658,-0.349986656,-0.251628655,-0.153270653,-0.054912651,0.04344535,0.141803352,0.240161353,0.338519355,0.436877356,0.535235358,0.633593359,0,0,0
-0.448344658,-0.349986656,-0.251628655,-0.153270653,-0.054912651,0.04344535,0.141803352,0.240161353,0.338519355,0.436877356,0,0,0,0,0
-0.448344658,-0.349986656,-0.251628655,-0.153270653,-0.054912651,0.04344535,0.141803352,0.240161353,0.338519355,0.436877356,0.535235358,0.633593359,0,0,0
-0.438508857,-0.340150856,-0.241792854,-0.143434853,-0.045076851,0.05328115,0.151639152,0.249997153,0.348355155,0.446713156,0.545071158,0,0,0,0
0.564742758,0.66310076,0.761458761,0.859816763,0.958174764,1.056532766,1.154890767,0,0,0,0,0,0,0,0
0.584414359,0.68277236,0.781130362,0.879488363,0.977846365,1.076204366,1.174562368,0,0,0,0,0,0,0,0
0.564742758,0.66310076,0.761458761,0.859816763,0.958174764,1.056532766,1.154890767,0,0,0,0,0,0,0,0
0.564742758,0.66310076,0.761458761,0.859816763,0.958174764,1.056532766,1.154890767,0,0,0,0,0,0,0,0
0.574578558,0.67293656,0.771294561,0.869652563,0.968010565,1.066368566,1.164726568,0,0,0,0,0,0,0,0
0.574578558,0.67293656,0.771294561,0.869652563,0.968010565,1.066368566,1.164726568,0,0,0,0,0,0,0,0
0.574578558,0.67293656,0.771294561,0.869652563,0.968010565,1.066368566,1.164726568,0,0,0,0,0,0,0,0
0.574578558,0.67293656,0.771294561,0.869652563,0.968010565,1.066368566,1.164726568,0,0,0,0,0,0,0,0
0.584414359,0.68277236,0.781130362,0.879488363,0.977846365,1.076204366,1.174562368,0,0,0,0,0,0,0,0
0.004102149,0.102460151,0.200818153,0.299176154,0.397534156,0.495892157,0.594250159,0,0,0,0,0,0,0,0
0.004102149,0.102460151,0.200818153,0.299176154,0.397534156,0.495892157,0.594250159,0,0,0,0,0,0,0,0
0.004102149,0.102460151,0.200818153,0.299176154,0.397534156,0.495892157,0.594250159,0,0,0,0,0,0,0,0
0.01393795,0.112295951,0.210653953,0.309011954,0.407369956,0.505727957,0.604085959,0,0,0,0,0,0,0,0
0.03360955,0.131967551,0.230325553,0.328683555,0.427041556,0.525399558,0.623757559,0,0,0,0,0,0,0,0
0.01393795,0.112295951,0.210653953,0.309011954,0.407369956,0.505727957,0.604085959,0,0,0,0,0,0,0,0
1.538486973,1.636844975,1.735202977,1.833560978,-1.658148077,-1.559790075,-1.461432074,0,0,0,0,0,0,0,0
1.548322774,1.646680775,1.745038777,1.843396778,-1.648312276,-1.549954275,-1.451596273,0,0,0,0,0,0,0,0
1.558158574,1.656516575,1.754874577,1.853232578,-1.638476476,-1.540118475,-1.441760473,0,0,0,0,0,0,0,0
1.558158574,1.656516575,1.754874577,1.853232578,-1.638476476,-1.540118475,-1.441760473,0,0,0,0,0,0,0,0
1.548322774,1.646680775,1.745038777,1.843396778,-1.648312276,-1.549954275,-1.451596273,0,0,0,0,0,0,0,0
1.548322774,1.646680775,1.745038777,1.843396778,-1.648312276,-1.549954275,-1.451596273,0,0,0,0,0,0,0,0
1.558158574,1.656516575,1.754874577,1.853232578,-1.638476476,-1.540118475,-1.441760473,0,0,0,0,0,0,0,0
1.784381977,1.882739979,-1.608969076,-1.510611074,-1.412253073,-1.313895071,-1.21553707,-1.117179068,-1.018821067,-0.920463065,-0.822105063,-0.723747062,-0.62538906,0,0
1.774546177,1.872904179,-1.618804876,-1.520446874,-1.422088873,-1.323730871,-1.22537287,-1.127014868,-1.028656867,-0.930298865,-0.831940864,-0.733582862,-0.635224861,0,0
1.774546177,1.872904179,-1.618804876,-1.520446874,-1.422088873,-1.323730871,-1.22537287,-1.127014868,-1.028656867,-0.930298865,-0.831940864,-0.733582862,-0.635224861,0,0
1.774546177,1.872904179,-1.618804876,-1.520446874,-1.422088873,-1.323730871,-1.22537287,-1.127014868,-1.028656867,-0.930298865,-0.831940864,-0.733582862,-0.635224861,0,0
1.784381977,1.882739979,-1.608969076,-1.510611074,-1.412253073,-1.313895071,-1.21553707,-1.117179068,-1.018821067,-0.920463065,-0.822105063,-0.723747062,-0.62538906,0,0
1.656516575,1.754874577,1.853232578,-1.638476476,-1.540118475,-1.441760473,-1.343402472,-1.24504447,0,0,0,0,0,0,0
1.686023976,1.784381977,1.882739979,-1.608969076,-1.510611074,-1.412253073,-1.313895071,0,0,0,0,0,0,0,0
1.695859776,1.794217777,-1.697491277,-1.599133276,-1.500775274,-1.402417273,-1.304059271,0,0,0,0,0,0,0,0
1.695859776,1.794217777,-1.697491277,-1.599133276,-1.500775274,-1.402417273,-1.304059271,0,0,0,0,0,0,0,0
1.695859776,1.794217777,-1.697491277,-1.599133276,-1.500775274,-1.402417273,-1.304059271,0,0,0,0,0,0,0,0
1.695859776,1.794217777,-1.697491277,-1.599133276,-1.500775274,-1.402417273,-1.304059271,0,0,0,0,0,0,0,0
1.656516575,1.754874577,1.853232578,-1.638476476,-1.540118475,-1.441760473,-1.343402472,-1.24504447,0,0,0,0,0,0,0
1.666352375,1.764710377,1.863068379,-1.628640676,-1.530282675,-1.431924673,-1.333566671,-1.23520867,0,0,0,0,0,0,0
1.666352375,1.764710377,1.863068379,-1.628640676,-1.530282675,-1.431924673,-1.333566671,-1.23520867,0,0,0,0,0,0,0
1.666352375,1.764710377,1.863068379,-1.628640676,-1.530282675,-1.431924673,-1.333566671,-1.23520867,0,0,0,0,0,0,0
1.676188176,1.774546177,1.872904179,-1.618804876,-1.520446874,-1.422088873,-1.323730871,-1.22537287,0,0,0,0,0,0,0
1.676188176,1.774546177,1.872904179,-1.618804876,-1.520446874,-1.422088873,-1.323730871,-1.22537287,0,0,0,0,0,0,0
1.686023976,1.784381977,1.882739979,-1.608969076,-1.510611074,-1.412253073,-1.313895071,0,0,0,0,0,0,0,0
1.686023976,1.784381977,1.882739979,-1.608969076,-1.510611074,-1.412253073,-1.313895071,0,0,0,0,0,0,0,0
-0.743418662,-0.645060661,-0.546702659,-0.448344658,-0.349986656,-0.251628655,-0.153270653,-0.054912651,0.04344535,0.141803352,0.240161353,0,0,0,0
-0.763090263,-0.664732261,-0.566374259,-0.468016258,-0.369658256,-0.271300255,-0.172942253,-0.074584252,0.02377375,0.122131751,0.220489753,0.318847754,0.417205756,0.515563757,0.613921759
-0.763090263,-0.664732261,-0.566374259,-0.468016258,-0.369658256,-0.271300255,0,0,0,0,0,0,0,0,0
-0.753254462,-0.654896461,-0.556538459,-0.458180458,-0.359822456,-0.261464455,-0.163106453,-0.064748452,0.03360955,0.131967551,0,0,0,0,0
-0.753254462,-0.654896461,-0.556538459,-0.458180458,-0.359822456,-0.261464455,-0.163106453,0,0,0,0,0,0,0,0
-0.753254462,-0.654896461,-0.556538459,-0.458180458,-0.359822456,-0.261464455,-0.163106453,-0.064748452,0.03360955,0.131967551,0.230325553,0,0,0,0
-0.753254462,-0.654896461,-0.556538459,-0.458180458,-0.359822456,-0.261464455,-0.163106453,-0.064748452,0.03360955,0.131967551,0.230325553,0.328683555,0.427041556,0.525399558,0.623757559
-0.733582862,-0.635224861,-0.536866859,-0.438508857,-0.340150856,-0.241792854,-0.143434853,-0.045076851,0.05328115,0.151639152,0.249997153,0.348355155,0.446713156,0.545071158,0
-0.723747062,-0.62538906,-0.527031059,-0.428673057,-0.330315056,-0.231957054,-0.133599053,-0.035241051,0.06311695,0.161474952,0.259832953,0.358190955,0.456548957,0.554906958,0
0.564742758,0.66310076,0.761458761,0.859816763,0.958174764,1.056532766,1.154890767,0,0,0,0,0,0,0,0
0.564742758,0.66310076,0.761458761,0.859816763,0.958174764,1.056532766,1.154890767,0,0,0,0,0,0,0,0
